startstation,endstation,trips
2nd at Townsend,Beale at Market,123
Market at 4th,2nd at Townsend,123
Grant Avenue at Columbus Avenue,Spear at Folsom,123
Beale at Market,Harry Bridges Plaza (Ferry Building),123
2nd at South Park,Embarcadero at Vallejo,123
Howard at 2nd,Embarcadero at Sansome,122
Market at 10th,Yerba Buena Center of the Arts (3rd @ Howard),122
Harry Bridges Plaza (Ferry Building),Davis at Jackson,122
Embarcadero at Vallejo,2nd at South Park,122
5th at Howard,5th at Howard,122
Post at Kearney,San Francisco Caltrain (Townsend at 4th),122
Temporary Transbay Terminal (Howard at Beale),Powell Street BART,121
Grant Avenue at Columbus Avenue,Temporary Transbay Terminal (Howard at Beale),121
Beale at Market,Market at 4th,121
Mechanics Plaza (Market at Battery),Civic Center BART (7th at Market),120
Steuart at Market,Grant Avenue at Columbus Avenue,120
Grant Avenue at Columbus Avenue,Beale at Market,120
San Jose Diridon Caltrain Station,MLK Library,120
Davis at Jackson,Market at Sansome,120
Market at 10th,Steuart at Market,119
South Van Ness at Market,Howard at 2nd,119
Post at Kearney,South Van Ness at Market,119
San Francisco City Hall,Townsend at 7th,119
San Francisco City Hall,Market at 4th,119
Grant Avenue at Columbus Avenue,2nd at Folsom,118
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Folsom,118
Santa Clara at Almaden,Arena Green / SAP Center,118
2nd at Folsom,Powell Street BART,118
Townsend at 7th,South Van Ness at Market,118
South Van Ness at Market,Post at Kearney,117
Golden Gate at Polk,Townsend at 7th,117
Townsend at 7th,Beale at Market,117
Clay at Battery,Mechanics Plaza (Market at Battery),117
Embarcadero at Bryant,Embarcadero at Folsom,117
Market at 10th,Mechanics Plaza (Market at Battery),117
2nd at South Park,Steuart at Market,117
South Van Ness at Market,South Van Ness at Market,116
Civic Center BART (7th at Market),Golden Gate at Polk,116
San Francisco Caltrain 2 (330 Townsend),Civic Center BART (7th at Market),116
Yerba Buena Center of the Arts (3rd @ Howard),2nd at South Park,116
Spear at Folsom,Mechanics Plaza (Market at Battery),116
Clay at Battery,Clay at Battery,115
Clay at Battery,Market at 4th,115
Davis at Jackson,Spear at Folsom,114
Post at Kearney,Embarcadero at Sansome,114
